Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",22.020000,16.000000,180.000000,top
"C2","10uF","C_0603_1608Metric",15.275000,11.000000,180.000000,top
"C3","10uF","C_0603_1608Metric",18.525000,11.250000,180.000000,top
"C4","0.1uF","C_0402_1005Metric",20.000000,15.520000,90.000000,top
"C5","4.7uF","C_0603_1608Metric",15.000000,1.250000,180.000000,top
"C6","4.7uF","C_0603_1608Metric",18.400000,1.200000,180.000000,top
"C7","1uF","C_0402_1005Metric",8.200000,4.120000,-90.000000,top
"C8","1uF","C_0402_1005Metric",12.480000,1.200000,0.000000,top
"C9","100uF","C_0603_1608Metric",42.725000,27.500000,0.000000,top
"C10","0.1uF","C_0402_1005Metric",35.270000,2.000000,0.000000,top
"C11","0.1uF","C_0402_1005Metric",29.520000,2.000000,0.000000,top
"C12","0.1uF","C_0402_1005Metric",42.230000,29.000000,0.000000,top
"C13","1uF","C_0402_1005Metric",32.400000,28.400000,90.000000,top
"C14","0.1uF","C_0402_1005Metric",8.800000,8.720000,90.000000,top
"D1","LESD5D5.0CT1G","D_SOD-523",9.400000,22.050000,90.000000,top
"D2","LESD5D5.0CT1G","D_SOD-523",9.950000,18.500000,0.000000,top
"D3","LESD5D5.0CT1G","D_SOD-523",11.000000,15.750000,0.000000,top
"D4","1N5819HW-7-F","D_SOD-123",9.950000,12.250000,90.000000,top
"D5","LED","PinSocket_1x02_P2.54mm_Vertical",15.200000,8.400000,90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2_DIN965_Pad",42.000000,3.000000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2_DIN965_Pad",3.000000,27.000000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2_DIN965_Pad",3.000000,3.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",3.675000,19.320000,-90.000000,top
"J2","Panel_SW","PinSocket_1x02_P2.54mm_Vertical",5.500000,8.480000,180.000000,top
"J3","E-","PinSocket_1x01_P2.54mm_Vertical",26.200000,1.500000,180.000000,top
"J4","E+","PinSocket_1x01_P2.54mm_Vertical",26.200000,5.090000,180.000000,top
"J5","S+","PinSocket_1x01_P2.54mm_Vertical",22.600000,1.490000,180.000000,top
"J6","S-","PinSocket_1x01_P2.54mm_Vertical",22.600000,5.070000,180.000000,top
"J7","BATT_CONNECTOR","PinSocket_1x02_P2.54mm_Vertical",1.795000,10.955000,0.000000,top
"Q1","SS8550","SOT-23",15.600000,13.750000,0.000000,top
"R1","5k1","R_0402_1005Metric",9.790000,24.000000,0.000000,top
"R2","5k1","R_0402_1005Metric",9.700000,17.100000,0.000000,top
"R3","8k2","R_0402_1005Metric",18.350000,15.510000,90.000000,top
"R4","12k","R_0402_1005Metric",18.350000,13.250000,90.000000,top
"R5","12k","R_0402_1005Metric",21.250000,14.490000,90.000000,top
"R6","12k","R_0402_1005Metric",22.750000,14.490000,90.000000,top
"R7","10k","R_0402_1005Metric",18.910000,6.100000,0.000000,top
"R8","1k","R_0402_1005Metric",14.250000,5.490000,90.000000,top
"R9","10k","R_0402_1005Metric",35.260000,4.500000,0.000000,top
"R10","10k","R_0402_1005Metric",29.500000,4.500000,0.000000,top
"R12","100k","R_0402_1005Metric",12.500000,7.500000,180.000000,top
"R13","10k","R_0402_1005Metric",40.260000,29.000000,180.000000,top
"R15","100k 1%","R_0402_1005Metric",10.400000,6.680000,0.000000,top
"R16","100k 1%","R_0402_1005Metric",8.390000,6.680000,0.000000,top
"SW2","SW_Push","PinSocket_1x02_P2.54mm_Vertical",38.000000,1.960000,180.000000,top
"SW3","SW_Push","PinSocket_1x02_P2.54mm_Vertical",32.250000,1.960000,180.000000,top
"SW4","RESET","PinSocket_1x02_P2.54mm_Vertical",34.980000,28.500000,90.000000,top
"U1","ESP32-C6-WROOM-1","ESP32-C6-WROOM-1",35.310000,16.750000,-90.000000,top
"U2","HX711","SOIC-16_3.9x9.9mm_P1.27mm",18.195000,20.475000,90.000000,top
"U3","AP2112K-3.3","SOT-23-5",10.887500,3.800000,180.000000,top
"U4","MCP73831-2-OT","SOT-23-5",17.000000,3.750000,0.000000,top
"U5","ER_OLEDM0.91_1x-I2C","PinSocket_1x04_P2.54mm_Vertical",8.020000,27.900000,90.000000,top
